,0
0,SPY
1,CMCSA
2,KMI
3,INTC
4,MU
5,GDX
6,GE
7,BAC
8,EEM
9,XLF
10,AAPL
11,MSFT
12,SIRI
13,HPQ
14,CX
15,EFA
16,CZR
17,QQQ
18,F
19,AMD
20,SNAP
21,FB
22,WFC
23,AIG
24,T
25,C
26,VALE
27,MS
28,AKS
29,JPM
30,ORCL
31,NKE
32,VWO
33,PG
34,FXI
35,IWM
36,GSM
37,HK
38,BBD
39,PFE
40,JD
41,NOK
42,TWTR
43,AMLP
44,AVGO
45,AMAT
46,WFT
47,UVXY
48,DWDP
49,VXX
50,VEA
51,ZNGA
52,XOM
53,QCOM
54,TVIX
55,VIPS
56,GLD
57,CSCO
58,AXP
59,BMY
60,V
61,USO
62,GRPN
63,WP
64,OIH
65,GERN
66,KEY
67,RF
68,KR
69,HAL
70,BABA
71,MRO
72,CLNS
73,GILD
74,IEMG
75,GM
76,FCX
77,CRM
78,ATVI
79,SQ
80,P
81,XLK
82,TWX
83,NUE
84,XOP
85,SWN
86,LOW
87,RAD
88,VEON
89,HYG
90,APC
91,JNK
92,EWJ
93,XLU
94,ESV
95,SLB
96,FLEX
97,FOXA
98,ABBV
99,GIS
100,VZ
101,XRX
102,CVLT
103,IEFA
104,X
105,MAT
106,CTL
107,MIK
108,DVN
109,BKLN
110,IBN
111,MPC
112,EZU
113,PM
114,MSCI
115,RDN
116,KO
117,AABA
118,SRC
119,NFX
120,COP
121,CHK
122,DIS
123,LEN
124,CVX
125,PYPL
126,GDXJ
127,CTRP
128,AUY
129,DBEF
130,WMT
131,CLF
132,MRK
133,MDLZ
134,RSPP
135,GG
136,MGM
137,GFI
138,KGC
139,SCHW
140,NBR
141,SRCI
142,JAG
143,NVDA
144,JNJ
145,WDC
146,BSX
147,STI
148,ON
149,ITUB
150,BK
151,HMY
152,APA
153,HOME
154,NGD
155,KOS
156,DAL
157,INFY
158,CCL
159,BHGE
160,MFGP
161,PBR
162,DISCA
163,LPI
